# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.init.bridges.ms,1775392690136000000,1775392699803000000,0
workspaceModel.replace.project.model.ms,1775392690136000000,1775392699803000000,0
workspaceModel.to.snapshot.ms,1775392690136000000,1775392699803000000,0
workspaceModel.pre.handlers.ms,1775392690136000000,1775392699803000000,0
workspaceModel.updates.ms,1775392690136000000,1775392699803000000,0
workspaceModel.updates.count,1775392690136000000,1775392699803000000,0
workspaceModel.check.recursive.update.ms,1775392690136000000,1775392699803000000,0
workspaceModel.initializing.ms,1775392690136000000,1775392699803000000,0
workspaceModel.collect.changes.ms,1775392690136000000,1775392699803000000,0
workspaceModel.loading.total.ms,1775392690136000000,1775392699803000000,16
workspaceModel.update.unloaded.entities.ms,1775392690136000000,1775392699803000000,0
workspaceModel.updates.precise.ms,1775392690136000000,1775392699803000000,0
workspaceModel.loading.from.cache.ms,1775392690136000000,1775392699803000000,11
FilePageCacheLockFree.totalPagesRequested,1775392690136000000,1775392699803000000,9
StorageLockContext.competingThreads.90P,1775392690136000000,1775392699803000000,0
FilePageCache.pageHits,1775392690136000000,1775392699803000000,0
FilePageCacheLockFree.totalPagesWritten,1775392690136000000,1775392699803000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775392690136000000,1775392699803000000,41959424
FilePageCache.maxRegisteredFiles,1775392690136000000,1775392699803000000,529
FilePageCache.capacityInBytes,1775392690136000000,1775392699803000000,503316478
MappedFileStorage.totalBytesMapped,1775392690136000000,1775392699803000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775392690136000000,1775392699803000000,0
FilePageCache.maxCacheSizeInBytes,1775392690136000000,1775392699803000000,199229440
StorageLockContext.competingThreads.max,1775392690136000000,1775392699803000000,0
FilePageCacheLockFree.nativeBytesInUse,1775392690136000000,1775392699803000000,0
DirectByteBufferAllocator.hits,1775392690136000000,1775392699803000000,3
FilePageCacheLockFree.totalPagesAllocated,1775392690136000000,1775392699803000000,2
FilePageCache.disposedBuffers,1775392690136000000,1775392699803000000,193
FilePageCacheLockFree.totalBytesWritten,1775392690136000000,1775392699803000000,24
FilePageCache.uncachedFileAccess,1775392690136000000,1775392699803000000,328
DirectByteBufferAllocator.disposed,1775392690136000000,1775392699803000000,150
FilePageCacheLockFree.housekeeperTimeSpentMs,1775392690136000000,1775392699803000000,54
StorageLockContext.competingThreads.avg,1775392690136000000,1775392699803000000,0.0
FilePageCacheLockFree.totalBytesRead,1775392690136000000,1775392699803000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1775392690136000000,1775392699803000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775392690136000000,1775392699803000000,16384
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775392690136000000,1775392699803000000,2
FilePageCacheLockFree.heapBytesInUse,1775392690136000000,1775392699803000000,0
MappedFileStorage.totalPagesMapped,1775392690136000000,1775392699803000000,0
MappedFileStorage.storages,1775392690136000000,1775392699803000000,0
FilePageCacheLockFree.totalPagesReadMs,1775392690136000000,1775392699803000000,6
FilePageCacheLockFree.totalBytesRequested,1775392690136000000,1775392699803000000,73728
FilePageCache.totalPageDisposalsUs,1775392690136000000,1775392699803000000,767
FilePageCacheLockFree.totalPagesReclaimed,1775392690136000000,1775392699803000000,2
FilePageCache.pageFastCacheHits,1775392690136000000,1775392699803000000,13395
FilePageCache.pageLoadsAboveSizeThreshold,1775392690136000000,1775392699803000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775392690136000000,1775392699803000000,308963
FilePageCacheLockFree.totalPagesWriteMs,1775392690136000000,1775392699803000000,0
